Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12042357,Think Stats,Allen B. Downey,"Downey, Allen B.",,"=""1449307116""","=""9781449307110""",3,3.63,O'Reilly Media,Paperback,138,2011,2011,2019/07/15,2018/10/28,,,read,"Had to skip some portions of the book. <br/><br/>One major disadvantage I found was that instead of using standard Python packages like Scipy, the examples include a lot of custom built functions and packages which make them less generalizable.",,,1,,,0,,,,,
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Микола Климчук,"=""0393316041""","=""9780393316049""",0,4.27,W. W. Norton & Company,Paperback,391,1997,1985,,2019/05/22,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
32899495,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,"Géron, Aurélien",,"=""""","=""""",0,4.54,O'Reilly Media,Kindle Edition,450,2017,2017,,2019/05/16,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
942560,"Free Software, Free Society: Selected Essays",Richard M. Stallman,"Stallman, Richard M.","Lawrence Lessig, Joshua Gay","=""1882114981""","=""9781882114986""",3,4.11,Free Software Foundation,Hardcover,224,2006,2002,2019/04/23,2018/11/07,,,read,"Interesting ideas on free software, open source, patents, copyrights and licenses.",,,1,,,0,,,,,
22578860,Advanced R,Hadley Wickham,"Wickham, Hadley",,"=""1466586966""","=""9781466586963""",4,4.57,CRC Press,Paperback,476,2014,2014,2019/03/11,2018/01/03,,,read,I enjoyed reading certain chapters of this book. Others I had to skim through as the material seemed very esoteric. I'm hopeful that I'll get back to those tougher chapters sometime later though.,,,1,,,0,,,,,
26233113,Think Python,Allen B. Downey,"Downey, Allen B.",,"=""""","=""""",4,4.11,Green Tea Press,ebook,220,2015,2002,2019/03/01,2018/09/24,,,read,"This books offers not just a good introduction to Python, but to computer programming in general, with useful chapters on OOP, analysis of algorithms, functional programming etc.",,,1,,,0,,,,,
37843167,Interpretable Machine Learning,Christoph Molnar,"Molnar, Christoph",,"=""""","=""""",0,4.11,,,,2017,,,2019/02/26,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
18902169,Designing Great Data Products,Jeremy   Howard,"Howard, Jeremy","Margit Zwemer, Mike Loukides","=""""","=""""",3,3.48,O'Reilly Media,Kindle Edition,28,2012,2012,2019/02/21,2019/02/20,,,read,"A very short book on why data science needs to be integrated with optimization techniques, to deliver data products that don't just give predictions, but act on them, and potentially transform / disrupt industries.",,,1,,,0,,,,,
12543,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"Lamott, Anne",,"=""0385480016""","=""9780385480017""",0,4.23,Anchor,Paperback,237,1995,1994,,2019/02/19,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
40366847,Data Science for Startups,Ben G Weber,"Weber, Ben G",,"=""1983057975""","=""9781983057977""",2,3.67,Independently published,Paperback,149,2018,,2019/02/12,2019/01/01,,,read,"Beginners please ignore this book.<br/><br/>It is just a collection of Medium articles, and includes a lot of complex Java code without any introduction and context. <br/><br/>I thought I'll learn about industry best practises, but the only learning I got was to use Google Cloud managed services wherever possible.<br/><br/>You can probably skim through this book in an hour as there really is not much content to read.",,,1,,,0,,,,,
